datasetId,splitName,sourceType,trackId,engine,durationSeconds,usedLearned,fallbackReason,rootAccuracy,majorMinorAccuracy,detailedAccuracy,noChordPrecision,noChordRecall,noChordF1,fragmentationRate,predictedRegionCount,regionsPerMinute,veryShortRegionCount,oneWindowRegionCount,oneWindowRegionRate,veryShortRegionRate,flickerEventCount,meanAbsoluteBoundaryErrorMs,medianAbsoluteBoundaryErrorMs,meanSignedBoundaryErrorMs,boundariesWithin100ms,boundariesWithin250ms,boundariesWithin500ms,boundariesWithin1000ms,mlOverrideCountVsRule,percentRuleWindowsChangedByMl,ruleMlAgreementRate,averageEffectiveLearnedWeight,averageLearnedEntropy,runtimePerAudioMinuteSeconds,peakMemoryMiB
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-97-C_comp,observation-hybrid,29.688390022675737,true,,0.706241,0.706241,0.706241,0,0,0,0.666667,5,10.10496,0,0,0,0,0,1362.715,1015.174,-1362.715,0,0,0.4,0.4,8,0.12307692307692308,0.5076923076923077,0.10310671119698096,0.20786342645486022,2.04034,340.723
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-97-C_comp,ml-only,29.688390022675737,true,,0.784878,0.784878,0.784878,0,0,0,0.833333,7,14.146944,0,0,0,0,0,370.032,155.961,-307.647,0.2,0.6,0.6,1,,,,,,0.480317,340.959
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-97-C_comp,legacy-region-hybrid,29.688390022675737,true,,0.740435,0.740435,0.740435,0,0,0,0.5,6,12.125952,0,0,0,0,0,1159.68,1015.174,-1087.906,0,0.2,0.4,0.4,,,,,,1.260798,340.959
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-97-C_solo,rule-only,29.688390022675737,false,,0.168433,0.168433,0.125886,0,0,0,0.666667,10,20.20992,0,0,0,0,0,405.795,376.776,-199.682,0,0.2,0.6,1,,,,,,0.818515,363.424
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-97-C_solo,observation-hybrid,29.688390022675737,true,,0.168433,0.168433,0.125886,0,0,0,0.666667,10,20.20992,0,0,0,0,0,405.795,376.776,-199.682,0,0.2,0.6,1,0,0,0.14893617021276595,0.005288098958308256,0.42180459112652197,1.327897,363.424
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-97-C_solo,ml-only,29.688390022675737,true,,0.332818,0.17335,0,0,0,0,0.833333,9,18.188928,0,0,0,0,0,1009.274,1104.098,992.471,0.2,0.2,0.2,0.2,,,,,,0.512618,363.424
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-97-C_solo,legacy-region-hybrid,29.688390022675737,true,,0.168433,0.168433,0.125886,0,0,0,0.666667,10,20.20992,0,0,0,0,0,405.795,376.776,-199.682,0,0.2,0.6,1,,,,,,0.933825,363.424
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-108-Eb_comp,rule-only,35.54839002267574,false,,0.350828,0.350828,0.233185,0,0,0,0.571429,10,16.878402,0,0,0,0,0,839.836,427.278,-173.798,0,0.23076923076923078,0.5384615384615384,0.6923076923076923,,,,,,0.925328,345.451
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-108-Eb_comp,observation-hybrid,35.54839002267574,true,,0.563908,0.505706,0.443194,0,0,0,0.5,12,20.254082,0,0,0,0,0,772.026,519.199,80.844,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.8461538461538461,37,0.42528735632183906,0.2413793103448276,0.12988257416788165,0.12757290295941148,1.584298,345.451
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-108-Eb_comp,ml-only,35.54839002267574,true,,0.80969,0.658309,0.637209,0,0,0,0.928571,18,30.381123,0,0,0,0,0,225.312,276.213,114.784,0.15384615384615385,0.38461538461538464,1,1,,,,,,0.49046,345.451
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-108-Eb_comp,legacy-region-hybrid,35.54839002267574,true,,0.513518,0.388494,0.333363,0,0,0,0.571429,10,16.878402,0,0,0,0,0,839.836,427.278,-173.798,0,0.23076923076923078,0.5384615384615384,0.6923076923076923,,,,,,1.040169,345.451
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-108-Eb_solo,rule-only,35.54839002267574,false,,0.033262,0.01077,0.01077,0,0,0,0.5,11,18.566242,0,0,0,0,0,1169.23,799.558,-366.085,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.6153846153846154,,,,,,0.974077,369.151
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-108-Eb_solo,observation-hybrid,35.54839002267574,true,,0.033262,0.01077,0.01077,0,0,0,0.5,11,18.566242,0,0,0,0,0,1169.23,799.558,-366.085,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.6153846153846154,0,0,0.11940298507462686,0.005262330042797214,0.4651314710788834,1.686236,369.151
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-108-Eb_solo,ml-only,35.54839002267574,true,,0.1053,0.004775,0.003199,0,0,0,0.571429,11,18.566242,0,0,0,0,0,1026.491,891.802,172.481,0.15384615384615385,0.23076923076923078,0.46153846153846156,0.6153846153846154,,,,,,0.490983,369.151
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-108-Eb_solo,legacy-region-hybrid,35.54839002267574,true,,0.033262,0.01077,0.01077,0,0,0,0.5,11,18.566242,0,0,0,0,0,1169.23,799.558,-366.085,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.6153846153846154,,,,,,1.08894,369.151
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-119-G_comp,rule-only,32.26321995464853,false,,0.482241,0.430698,0.408156,0,0,0,0.642857,13,24.176151,0,0,0,0,0,503.11,219.378,171.488,0.15384615384615385,0.5384615384615384,0.8461538461538461,0.8461538461538461,,,,,,1.276543,359.449
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-119-G_comp,observation-hybrid,32.26321995464853,true,,0.796674,0.678452,0.57116,0,0,0,0.714286,13,24.176151,0,0,0,0,0,364.751,177.858,87.572,0.3076923076923077,0.6153846153846154,0.7692307692307693,0.8461538461538461,35,0.39325842696629215,0.30337078651685395,0.16764109492171644,0.12559293603711763,2.274863,361.876
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-119-G_comp,ml-only,32.26321995464853,true,,0.869216,0.748335,0.748335,0,0,0,0.785714,14,26.035855,0,0,0,0,0,318.137,116.974,-9.937,0.46153846153846156,0.6153846153846154,0.8461538461538461,0.9230769230769231,,,,,,0.482954,362.137
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-119-G_comp,legacy-region-hybrid,32.26321995464853,true,,0.743309,0.636056,0.613514,0,0,0,0.642857,13,24.176151,0,0,0,0,0,503.11,219.378,171.488,0.15384615384615385,0.5384615384615384,0.8461538461538461,0.8461538461538461,,,,,,1.382628,362.137
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-119-G_solo,rule-only,32.26321995464853,false,,0.316902,0.035861,0.035861,0,0,0,0.428571,9,16.737335,0,0,0,0,0,1476.198,1173.779,429.149,0,0.23076923076923078,0.23076923076923078,0.46153846153846156,,,,,,0.877122,372.982
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-119-G_solo,observation-hybrid,32.26321995464853,true,,0.316902,0.035861,0.035861,0,0,0,0.428571,9,16.737335,0,0,0,0,0,1476.198,1173.779,429.149,0,0.23076923076923078,0.23076923076923078,0.46153846153846156,0,0,0.1076923076923077,0.0041084625037552495,0.4739974359759874,1.494441,372.982
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk2-119-G_solo,ml-only,32.26321995464853,true,,0.321334,0.196312,0.196312,0,0,0,0.642857,10,18.597039,0,0,0,0,0,861.777,617.019,182.388,0.07692307692307693,0.15384615384615385,0.46153846153846156,0.6923076923076923,,,,,,0.48213,372.982
