candidateId,decoderId,foldId,capture,rootAccuracy,majorMinorAccuracy,detailedAccuracy,fragmentationRate,regionsPerMinute,predictedRegionCount,meanAbsoluteBoundaryErrorMs,medianAbsoluteBoundaryErrorMs,meanSignedBoundaryErrorMs,boundariesWithin100ms,boundariesWithin250ms,boundariesWithin500ms,boundariesWithin1000ms,abaCount,flickerCount,stateSwitchPrecision,stateSwitchRecall,stateSwitchF1
calibrated-boundary,segmental-full,lopo-p04,audio_mono-pickup_mix,0.7680,0.7273,0.7216,0.6750,21.794,664,390.8,200.6,-10.7,0.5152,0.7485,0.8167,0.8606,75,2,0.8179,0.7485,0.7816
calibrated-boundary,segmental-full,lopo-p05,audio_mono-mic,0.7308,0.6882,0.6839,0.6319,19.463,593,589.6,439.0,-44.0,0.4136,0.6121,0.7030,0.7606,69,1,0.7580,0.6121,0.6773
calibrated-boundary,segmental-full,lopo-p05,audio_mono-pickup_mix,0.7303,0.6842,0.6798,0.6167,19.266,587,622.3,428.2,-42.9,0.4030,0.5970,0.6894,0.7455,69,1,0.7476,0.5970,0.6639
precision-boundary-loss,full-v2-existing,lopo-p01,audio_mono-mic,0.6382,0.5845,0.5759,0.6000,19.299,588,1084.0,868.0,-253.5,0.1818,0.3955,0.5924,0.7242,56,0,0.4943,0.3955,0.4394
precision-boundary-loss,full-v2-existing,lopo-p01,audio_mono-pickup_mix,0.6285,0.5725,0.5623,0.5903,18.872,575,1131.7,885.7,-317.2,0.2000,0.4061,0.5924,0.7167,61,0,0.5204,0.4061,0.4562
precision-boundary-loss,full-v2-existing,lopo-p02,audio_mono-mic,0.7307,0.6862,0.6779,0.6667,22.253,678,480.9,320.5,18.8,0.3258,0.5758,0.7621,0.8409,73,1,0.6149,0.5758,0.5947
precision-boundary-loss,full-v2-existing,lopo-p02,audio_mono-pickup_mix,0.7157,0.6664,0.6547,0.6806,22.351,681,497.7,349.5,11.3,0.3242,0.5803,0.7439,0.8364,86,1,0.6167,0.5803,0.5980
precision-boundary-loss,full-v2-existing,lopo-p03,audio_mono-mic,0.7986,0.7546,0.7457,0.6833,22.745,693,355.5,226.1,21.1,0.4061,0.6515,0.8258,0.8909,70,2,0.6793,0.6515,0.6651
precision-boundary-loss,full-v2-existing,lopo-p03,audio_mono-pickup_mix,0.7901,0.7451,0.7390,0.6847,23.238,708,354.8,207.4,11.6,0.4227,0.6727,0.8227,0.8894,75,3,0.6852,0.6727,0.6789
precision-boundary-loss,full-v2-existing,lopo-p04,audio_mono-mic,0.8033,0.7594,0.7506,0.6944,22.975,700,373.9,228.8,64.7,0.4394,0.6788,0.8076,0.8955,82,2,0.7000,0.6788,0.6892
precision-boundary-loss,full-v2-existing,lopo-p04,audio_mono-pickup_mix,0.8041,0.7605,0.7513,0.6931,22.909,698,363.1,214.8,52.9,0.4318,0.6727,0.8106,0.8909,80,1,0.6959,0.6727,0.6841
precision-boundary-loss,full-v2-existing,lopo-p05,audio_mono-mic,0.8063,0.7656,0.7549,0.6778,21.925,668,475.3,267.6,22.3,0.4091,0.6500,0.7879,0.8697,69,3,0.7056,0.6500,0.6767
precision-boundary-loss,full-v2-existing,lopo-p05,audio_mono-pickup_mix,0.8103,0.7719,0.7638,0.6847,22.187,676,450.9,248.1,21.4,0.3985,0.6409,0.7879,0.8697,62,2,0.6867,0.6409,0.6630
precision-boundary-loss,segmental-full,lopo-p01,audio_mono-mic,0.6387,0.5863,0.5792,0.5486,17.494,533,1091.4,852.8,-80.4,0.2348,0.4485,0.5788,0.6636,55,0,0.6258,0.4485,0.5225
precision-boundary-loss,segmental-full,lopo-p01,audio_mono-pickup_mix,0.6328,0.5787,0.5704,0.5403,17.264,526,1168.3,881.5,-19.1,0.2182,0.4348,0.5773,0.6636,60,0,0.6159,0.4348,0.5098
precision-boundary-loss,segmental-full,lopo-p02,audio_mono-mic,0.7245,0.6830,0.6750,0.6528,20.907,637,566.1,407.6,-38.0,0.3379,0.5727,0.7167,0.7970,70,1,0.6551,0.5727,0.6112
precision-boundary-loss,segmental-full,lopo-p02,audio_mono-pickup_mix,0.7164,0.6685,0.6567,0.6417,20.612,628,591.9,430.8,-27.7,0.3454,0.5727,0.7182,0.7924,76,1,0.6655,0.5727,0.6156
precision-boundary-loss,segmental-full,lopo-p03,audio_mono-mic,0.7938,0.7509,0.7422,0.6569,21.236,647,403.9,243.4,16.2,0.4333,0.6758,0.8061,0.8500,64,1,0.7598,0.6758,0.7153
precision-boundary-loss,segmental-full,lopo-p03,audio_mono-pickup_mix,0.7874,0.7440,0.7381,0.6681,21.761,663,424.7,277.7,-21.3,0.4364,0.6727,0.8000,0.8530,66,1,0.7363,0.6727,0.7031
precision-boundary-loss,segmental-full,lopo-p04,audio_mono-mic,0.8044,0.7604,0.7510,0.6667,21.826,665,412.5,236.1,-3.5,0.4576,0.7061,0.8106,0.8636,75,3,0.7702,0.7061,0.7368
precision-boundary-loss,segmental-full,lopo-p04,audio_mono-pickup_mix,0.8119,0.7667,0.7574,0.6556,21.629,659,431.5,265.6,-12.6,0.4455,0.6803,0.8045,0.8545,72,0,0.7496,0.6803,0.7133
