foldId,candidateId,capture,rootAccuracy,majorMinorAccuracy,detailedAccuracy,fragmentationRate,regionsPerMinute,predictedRegionCount,shortRegionRate,flickerCount,meanAbsoluteBoundaryErrorMs,medianAbsoluteBoundaryErrorMs,boundaryF1At100ms,boundaryF1At250ms,boundaryF1At500ms,boundaryF1At1000ms,weightedChordSymbolRecall,noChordF1,meanSignedBoundaryErrorMs,boundariesWithin100ms,boundariesWithin250ms,boundariesWithin500ms,boundariesWithin1000ms,chordSwitchPrecision,chordSwitchRecall,chordSwitchF1,boundaryStateSwitchAgreement,trainSeconds,epochsRun,checkpointChecksum
lopo-p01,full-v2,audio_mono-mic,0.6955160271565687,0.6482924882909041,0.64086616205323,0.6402786111111112,21.005806136102308,640.0,0.003125,1.0,672.4977272727273,472.03318181818184,0.3387051515151515,0.5402145454545455,0.7260330303030303,0.8355887878787879,0.64086616205323,0.0,-55.49090909090909,0.3287787878787879,0.5212092424242425,0.6984821212121212,0.7999984848484849,0.5930991379310345,0.5212092424242425,0.5548351925073842,0.8765109711980142,3244.87,16,74c8f58992571ed72c3505ccf10c68c5d06ad9e8ae099a31cf0ed6c950d2e9d2
lopo-p01,full-v2,audio_mono-pickup_mix,0.7200586582213114,0.67113834314516,0.662158355004688,0.6569455555555556,21.629416005767844,659.0,0.0030349013657056147,0.0,511.8393939393939,363.5921212121212,0.3559201515151515,0.5864906060606061,0.754074696969697,0.8594156060606061,0.662158355004688,0.0,11.163636363636366,0.3469631818181818,0.5727203030303031,0.7318198484848485,0.8287884848484849,0.6310485809682805,0.5727203030303031,0.6004713019636777,0.8761619891581227,3244.87,16,74c8f58992571ed72c3505ccf10c68c5d06ad9e8ae099a31cf0ed6c950d2e9d2
lopo-p02,v1-objective,audio_mono-mic,0.6040332605059117,0.5550461867350522,0.5361590467193197,0.6222227777777778,20.28373155017379,618.0,0.0,1.0,1081.8998484848485,759.2813636363636,0.23873621212121213,0.4566851515151515,0.6291507575757576,0.7702422727272727,0.5361590467193197,0.0,324.70075757575756,0.233335303030303,0.44545151515151515,0.6090930303030303,0.7333336363636364,0.5268781362007168,0.44545151515151515,0.48275533661740555,0.8660410740472441,560.65,19,b818f6c3fffe6f10bd713cd1c05ba1ba79980974397cef663b04f7c1b3d13499
lopo-p02,v1-objective,audio_mono-pickup_mix,0.6156641808884362,0.5621211042708524,0.5403327629855815,0.6222236111111111,20.31655312226145,619.0,0.0,0.0,1093.3090909090909,779.798787878788,0.22252121212121212,0.4561581818181818,0.6301742424242425,0.754589393939394,0.5403327629855815,0.0,137.93348484848485,0.21817954545454546,0.4469648484848485,0.610613787878788,0.72121,0.527727191413238,0.4469648484848485,0.48400006257569445,0.8613246008017258,560.65,19,b818f6c3fffe6f10bd713cd1c05ba1ba79980974397cef663b04f7c1b3d13499
lopo-p02,longer-context,audio_mono-mic,0.6354879355559373,0.5767451924602285,0.5556165685484004,0.7097222222222223,24.419249633218932,744.0,0.008064516129032258,3.0,518.5760606060607,359.83984848484846,0.28414636363636364,0.5003743939393939,0.6901980303030303,0.8054951515151515,0.5556165685484004,0.0,-25.861060606060605,0.28787515151515153,0.5090886363636363,0.6984828787878787,0.8121193939393939,0.4912235380116959,0.5090886363636363,0.4999965561196153,0.7724288568960972,1233.15,31,b89a24b995971dddaf7829da621a5348c20dcdf5f873b0e77ab235c9456fe573
lopo-p02,longer-context,audio_mono-pickup_mix,0.6143813247442925,0.5541886913820397,0.5350314811937862,0.7041647222222223,24.78028692618319,755.0,0.009271523178807948,8.0,541.109696969697,375.03136363636366,0.2759331818181818,0.4956407575757576,0.6732977272727273,0.8105159090909092,0.5350314811937862,0.0,-1.6189393939393921,0.28332454545454544,0.5045504545454546,0.6833392424242424,0.8227316666666666,0.4791352517985612,0.5045504545454546,0.4915145305550887,0.7694041173317457,1233.15,31,b89a24b995971dddaf7829da621a5348c20dcdf5f873b0e77ab235c9456fe573
lopo-p02,duration-objective,audio_mono-mic,0.6419515085341558,0.5893723369396947,0.5624570608501006,0.7138908333333334,24.61617906574489,750.0,0.006666666666666667,3.0,508.3256060606061,355.83500000000004,0.2853263636363636,0.5043727272727272,0.6807168181818182,0.8212395454545455,0.5624570608501006,0.0,-61.45621212121212,0.28939333333333334,0.5136401515151515,0.6893962121212122,0.8318218181818181,0.49130115942028985,0.5136401515151515,0.502222367054067,0.7790237959321819,1297.37,31,419b75532f33605b6c143eca2bd598130f32cf4f4ad9e43af5f38ed06fef2d87
lopo-p02,duration-objective,audio_mono-pickup_mix,0.6422478516092964,0.5913750536906216,0.5685272549787589,0.7222249999999999,24.84593007035851,757.0,0.007926023778071334,2.0,484.07166666666666,343.75863636363636,0.2898119696969697,0.5172563636363636,0.6908030303030304,0.82383,0.5685272549787589,0.0,-57.67696969696969,0.2939425757575757,0.5257578787878788,0.7030331818181818,0.8378824242424242,0.49784949784791965,0.5257578787878788,0.5114232310525122,0.779936786033817,1297.37,31,419b75532f33605b6c143eca2bd598130f32cf4f4ad9e43af5f38ed06fef2d87
lopo-p02,boundary-switch-objective,audio_mono-mic,0.6388604698079828,0.5916605823859752,0.5732496484809629,0.7111061111111111,24.550535921569573,748.0,0.0053475935828877,1.0,498.57045454545454,336.2583333333333,0.3193780303030303,0.5474336363636364,0.7212866666666666,0.8270457575757575,0.5732496484809629,0.0,-17.886666666666667,0.3272710606060606,0.5560619696969697,0.7318181818181818,0.8439448484848485,0.5334347383720931,0.5560619696969697,0.5445133870109334,0.7845021116634673,1311.36,31,b71fe23a718af9c38b0be044f4c279145ae9b5063813f2130f38c678911a864e
lopo-p02,boundary-switch-objective,audio_mono-pickup_mix,0.6457186142622859,0.5941375200895372,0.5739109096170488,0.7208311111111111,24.386428061131273,743.0,0.005383580080753701,1.0,489.0218181818182,364.5601515151515,0.31195318181818177,0.5384263636363636,0.7039981818181819,0.8363492424242425,0.5739109096170488,0.0,-56.533030303030294,0.3166651515151515,0.5439436363636363,0.7151518181818182,0.8500081818181818,0.5256181551976574,0.5439436363636363,0.5346239047294453,0.7882870928039262,1311.36,31,b71fe23a718af9c38b0be044f4c279145ae9b5063813f2130f38c678911a864e
